function	table_id_candidates
fal_tiger_l2_fdb_aging_port_en_get	0x83
fal_tiger_l2_fdb_aging_port_en_set	0x83
fal_tiger_l2_fdb_aging_time_get	0x82
fal_tiger_l2_fdb_aging_time_set	0x82
fal_tiger_l2_fdb_all_mcast_flush	
fal_tiger_l2_fdb_all_ucast_flush	
fal_tiger_l2_fdb_copy2cpu_get	
fal_tiger_l2_fdb_copy2cpu_set	
fal_tiger_l2_fdb_drop_da_get	
fal_tiger_l2_fdb_drop_da_set	
fal_tiger_l2_fdb_drop_sa_get	
fal_tiger_l2_fdb_drop_sa_set	
fal_tiger_l2_fdb_lag_uc_cnt_get	0x7f
fal_tiger_l2_fdb_linkdownFlush_en_get	0xb9
fal_tiger_l2_fdb_linkdownFlush_en_set	0xb9
fal_tiger_l2_fdb_mc_cnt_get	0x97
fal_tiger_l2_fdb_mcast_addr_add	
fal_tiger_l2_fdb_mcast_addr_del	
fal_tiger_l2_fdb_port_mcast_flush	
fal_tiger_l2_fdb_port_uc_cnt_get	0x7f
fal_tiger_l2_fdb_port_ucast_flush	
fal_tiger_l2_fdb_type_get	
fal_tiger_l2_fdb_uc_cnt_get	0x81
fal_tiger_l2_fdb_uc_withMacAndVid_get	
fal_tiger_l2_fdb_uc_withindex_get	
fal_tiger_l2_fdb_uc_withindex_getnext	0x87,0xff
fal_tiger_l2_fdb_ucast_addr_add	
fal_tiger_l2_fdb_ucast_addr_del	
fal_tiger_l2_fdb_vlan_mcast_flush	
fal_tiger_l2_fdb_vlan_ucast_flush	
fal_tiger_l2_filter_bcast_get	0x9b
fal_tiger_l2_filter_bcast_set	0x9b
fal_tiger_l2_filter_mcast_get	0x9a
fal_tiger_l2_filter_mcast_set	0x9a
fal_tiger_l2_filter_unknown_mcast_get	0x99
fal_tiger_l2_filter_unknown_mcast_set	0x99
fal_tiger_l2_filter_unknown_ucast_get	0x98
fal_tiger_l2_filter_unknown_ucast_set	0x98
fal_tiger_l2_igmp_bypass_unknown_mcast_filter_set	0xae
fal_tiger_l2_init	0x1000
fal_tiger_l2_lag_learnlimit_cnt_get	0xaf
fal_tiger_l2_lag_learnlimit_cnt_set	0xaf
fal_tiger_l2_lag_learnlimit_en_get	0xaf
fal_tiger_l2_lag_learnlimit_en_set	0xaf
fal_tiger_l2_lag_learnlimit_exceed_drop_get	0xaf
fal_tiger_l2_lag_learnlimit_exceed_drop_set	0xaf
fal_tiger_l2_port_learn_en_set	0x7c
fal_tiger_l2_port_learnlimit_cnt_get	0x7c
fal_tiger_l2_port_learnlimit_cnt_set	0x7c
fal_tiger_l2_port_learnlimit_en_get	0x7c
fal_tiger_l2_port_learnlimit_en_set	0x7c
fal_tiger_l2_port_learnlimit_exceed_drop_get	0x7c
fal_tiger_l2_port_learnlimit_exceed_drop_set	0x7c
fal_tiger_l2_rma_bypass_unknown_mcast_filter_get	0xae
fal_tiger_l2_rma_bypass_unknown_mcast_filter_set	0xae
fal_tiger_l2_system_learnlimit_cnt_get	0x80
fal_tiger_l2_system_learnlimit_cnt_set	0x80
fal_tiger_l2_system_learnlimit_en_get	0x80
fal_tiger_l2_system_learnlimit_en_set	0x80
fal_tiger_l2_system_learnlimit_exceed_drop_get	0x80
fal_tiger_l2_system_learnlimit_exceed_drop_set	0x80
fal_tiger_loop_detect_enable_get	
fal_tiger_loop_detect_enable_set	
fal_tiger_loop_detect_generate_way_get	
fal_tiger_loop_detect_generate_way_set	
fal_tiger_loop_detect_tpid_get	
fal_tiger_loop_detect_tpid_set	
fal_tiger_loop_detect_unitID_get	
fal_tiger_loop_detect_unitID_set	
fal_tiger_mirror_port_get	0xd5
fal_tiger_mirror_port_set	0xd5
fal_tiger_multicast_bypass_grouprange_get	0x8e
fal_tiger_multicast_bypass_grouprange_set	0x8e
fal_tiger_multicast_dynamic_routerport_agingtime_get	0x8a,0xaa
fal_tiger_multicast_dynamic_routerport_agingtime_set	0x8a,0x8c,0x8d,0xaa
fal_tiger_multicast_dynamic_routerport_get	0x93
fal_tiger_multicast_fastleave_get	0x8e
fal_tiger_multicast_fastleave_set	0x8e
fal_tiger_multicast_fwd_routerport_only_get	0x8e
fal_tiger_multicast_fwd_routerport_only_set	0x8e
fal_tiger_multicast_fwd_routerport_primary_get	0x8e
fal_tiger_multicast_fwd_routerport_primary_set	0x8e
fal_tiger_multicast_igmp_bypass_port_isolation_get	0x8f
fal_tiger_multicast_igmp_bypass_port_isolation_set	0x8f
fal_tiger_multicast_igmp_opmode_get	0x8e
fal_tiger_multicast_igmp_opmode_set	0x8e
