symbol	byte_len	entry	field	width	word	lsb
psch_meter_cfg_tblm_field	4	0	0	2	0	0
psch_shp_cfg_tblm_field	20	0	0	1	1	4
psch_shp_cfg_tblm_field	20	1	1	1	1	3
psch_shp_cfg_tblm_field	20	2	2	3	1	0
psch_shp_cfg_tblm_field	20	3	3	14	0	18
psch_shp_cfg_tblm_field	20	4	4	18	0	0
qsch_meter_cfg_tblm_field	4	0	0	2	0	0
qsch_shp_cfg_tblm_field	36	0	0	1	2	6
qsch_shp_cfg_tblm_field	36	1	1	1	2	5
qsch_shp_cfg_tblm_field	36	2	2	1	2	4
qsch_shp_cfg_tblm_field	36	3	3	1	2	3
qsch_shp_cfg_tblm_field	36	4	4	3	2	0
qsch_shp_cfg_tblm_field	36	5	5	14	1	18
qsch_shp_cfg_tblm_field	36	6	6	18	1	0
qsch_shp_cfg_tblm_field	36	7	7	14	0	18
qsch_shp_cfg_tblm_field	36	8	8	18	0	0
qsch_e_dwrr_cfg_tblm_field	4	0	0	1	0	0
qsch_c_dwrr_cfg_tblm_field	4	0	0	1	0	0
qsch_flow_map_tblm_field	16	0	0	10	0	18
qsch_flow_map_tblm_field	16	1	1	10	0	8
qsch_flow_map_tblm_field	16	2	2	4	0	4
qsch_flow_map_tblm_field	16	3	3	4	0	0
psch_shp_slot_time_cfgm_field	4	0	0	12	0	0
qsch_shp_slot_time_cfgm_field	4	0	0	12	0	0
egr_vlan_tag_transparent_ctrlm_field	16	0	0	11	0	13
egr_vlan_tag_transparent_ctrlm_field	16	1	1	11	0	2
egr_vlan_tag_transparent_ctrlm_field	16	2	2	1	0	1
egr_vlan_tag_transparent_ctrlm_field	16	3	3	1	0	0
egr_vlan_trans_data_ctrlnm_field	16	0	0	12	0	14
egr_vlan_trans_data_ctrlnm_field	16	1	1	12	0	2
egr_vlan_trans_data_ctrlnm_field	16	2	2	1	0	1
egr_vlan_trans_data_ctrlnm_field	16	3	3	1	0	0
egr_vlan_trans_rule_ctrl1nm_field	12	0	0	12	0	13
egr_vlan_trans_rule_ctrl1nm_field	12	1	1	12	0	1
egr_vlan_trans_rule_ctrl1nm_field	12	2	2	1	0	0
egr_vlan_trans_rule_ctrlnm_field	32	0	0	1	0	28
egr_vlan_trans_rule_ctrlnm_field	32	1	1	1	0	27
egr_vlan_trans_rule_ctrlnm_field	32	2	2	12	0	15
egr_vlan_trans_rule_ctrlnm_field	32	3	3	11	0	4
egr_vlan_trans_rule_ctrlnm_field	32	4	4	1	0	3
egr_vlan_trans_rule_ctrlnm_field	32	5	5	1	0	2
egr_vlan_trans_rule_ctrlnm_field	32	6	6	1	0	1
egr_vlan_trans_rule_ctrlnm_field	32	7	7	1	0	0
egr_tpid_profilem_field	4	0	0	16	0	0
egr_prio_remarknm_field	8	0	0	3	0	1
egr_prio_remarknm_field	8	1	1	1	0	0
egr_dscp_remarknm_field	4	0	0	6	0	0
egr_port_vlan_ctrlnm_field	24	0	0	1	0	31
egr_port_vlan_ctrlnm_field	24	1	1	1	0	30
egr_port_vlan_ctrlnm_field	24	2	2	3	0	27
egr_port_vlan_ctrlnm_field	24	3	3	12	0	15
egr_port_vlan_ctrlnm_field	24	4	4	3	0	12
egr_port_vlan_ctrlnm_field	24	5	5	12	0	0
egr_port_ctrlnm_field	36	0	0	1	0	10
egr_port_ctrlnm_field	36	1	1	1	0	9
egr_port_ctrlnm_field	36	2	2	1	0	8
egr_port_ctrlnm_field	36	3	3	1	0	7
egr_port_ctrlnm_field	36	4	4	1	0	6
egr_port_ctrlnm_field	36	5	5	2	0	4
egr_port_ctrlnm_field	36	6	6	2	0	2
egr_port_ctrlnm_field	36	7	7	1	0	1
egr_port_ctrlnm_field	36	8	8	1	0	0
mirror_qos_ctrlm_field	16	0	0	1	0	7
mirror_qos_ctrlm_field	16	1	1	3	0	4
mirror_qos_ctrlm_field	16	2	2	1	0	3
mirror_qos_ctrlm_field	16	3	3	3	0	0
mirror_ctrlm_field	12	0	0	11	0	16
mirror_ctrlm_field	12	1	1	11	0	4
mirror_ctrlm_field	12	2	2	4	0	0
int_prio_to_mcast_qid_mapnm_field	32	0	0	2	0	14
int_prio_to_mcast_qid_mapnm_field	32	1	1	2	0	12
int_prio_to_mcast_qid_mapnm_field	32	2	2	2	0	10
int_prio_to_mcast_qid_mapnm_field	32	3	3	2	0	8
int_prio_to_mcast_qid_mapnm_field	32	4	4	2	0	6
int_prio_to_mcast_qid_mapnm_field	32	5	5	2	0	4
int_prio_to_mcast_qid_mapnm_field	32	6	6	2	0	2
int_prio_to_mcast_qid_mapnm_field	32	7	7	2	0	0
int_prio_to_ucast_qid_mapnm_field	32	0	0	3	0	28
int_prio_to_ucast_qid_mapnm_field	32	1	1	3	0	24
int_prio_to_ucast_qid_mapnm_field	32	2	2	3	0	20
int_prio_to_ucast_qid_mapnm_field	32	3	3	3	0	16
int_prio_to_ucast_qid_mapnm_field	32	4	4	3	0	12
int_prio_to_ucast_qid_mapnm_field	32	5	5	3	0	8
int_prio_to_ucast_qid_mapnm_field	32	6	6	3	0	4
int_prio_to_ucast_qid_mapnm_field	32	7	7	3	0	0
meter_config_tblm_field	56	0	0	1	2	14
meter_config_tblm_field	56	1	1	1	2	13
meter_config_tblm_field	56	2	2	2	2	11
meter_config_tblm_field	56	3	3	1	2	10
meter_config_tblm_field	56	4	4	3	2	7
meter_config_tblm_field	56	5	5	1	2	6
meter_config_tblm_field	56	6	6	1	2	5
meter_config_tblm_field	56	7	7	1	2	4
meter_config_tblm_field	56	8	8	4	2	0
meter_config_tblm_field	56	9	9	12	1	20
meter_config_tblm_field	56	10	10	18	1	2
meter_config_tblm_field	56	11	11	2	1	0
meter_config_tblm_field	56	12	12	14	0	18
meter_config_tblm_field	56	13	13	18	0	0
meter_token_tblm_field	56	0	0	1	2	14
meter_token_tblm_field	56	1	1	1	2	13
meter_token_tblm_field	56	2	2	2	2	11
meter_token_tblm_field	56	3	3	1	2	10
meter_token_tblm_field	56	4	4	3	2	7
meter_token_tblm_field	56	5	5	1	2	6
meter_token_tblm_field	56	6	6	1	2	5
meter_token_tblm_field	56	7	7	1	2	4
meter_token_tblm_field	56	8	8	4	2	0
meter_token_tblm_field	56	9	9	12	1	20
meter_token_tblm_field	56	10	10	18	1	2
meter_token_tblm_field	56	11	11	2	1	0
meter_token_tblm_field	56	12	12	14	0	18
meter_token_tblm_field	56	13	13	18	0	0
port_meter_ctrlnm_field	8	0	0	1	0	4
port_meter_ctrlnm_field	8	1	1	4	0	0
meter_timeslotm_field	4	0	0	12	0	0
port_rate_ctrlnm_field	4	0	0	5	0	0
l2_egr_vlan_filter_enm_field	4	0	0	11	0	0
qos_merge_precedence_ctrlnm_field	32	0	0	3	0	21
qos_merge_precedence_ctrlnm_field	32	1	1	3	0	18
qos_merge_precedence_ctrlnm_field	32	2	2	3	0	15
qos_merge_precedence_ctrlnm_field	32	3	3	3	0	12
qos_merge_precedence_ctrlnm_field	32	4	4	3	0	9
qos_merge_precedence_ctrlnm_field	32	5	5	3	0	6
qos_merge_precedence_ctrlnm_field	32	6	6	3	0	3
qos_merge_precedence_ctrlnm_field	32	7	7	3	0	0
qos_port_ctrlnm_field	16	0	0	1	0	5
qos_port_ctrlnm_field	16	1	1	1	0	4
qos_port_ctrlnm_field	16	2	2	3	0	1
qos_port_ctrlnm_field	16	3	3	1	0	0
pri_to_int_prio_mapm_field	8	0	0	3	0	2
pri_to_int_prio_mapm_field	8	1	1	2	0	0
dscp_to_int_prio_mapm_field	8	0	0	3	0	2
dscp_to_int_prio_mapm_field	8	1	1	2	0	0
