table_id	base_mmio	func_count	example_functions
0x20	0x002100e0	1	fal_tiger_vlan_igr_trans_table_get
0x2d	0x00230010	2	fal_tiger_vlan_port_ingrDefaultVlan_get|fal_tiger_vlan_port_ingrDefaultVlan_set
0x2e	0x00230080	6	fal_tiger_vlan_port_aft_get|fal_tiger_vlan_port_aft_set|fal_tiger_vlan_trans_mode_get|fal_tiger_vlan_trans_mode_set|fal_tiger_vlan_trans_port_rangeProfileSel_get|fal_tiger_vlan_trans_port_rangeProfileSel_set
0x2f	0x00230108	2	fal_tiger_vlan_trans_untagPvidIgnore_get|fal_tiger_vlan_trans_untagPvidIgnore_set
0x30	0x00230200	3	fal_tiger_vlan_trans_rangeProfile_add|fal_tiger_vlan_trans_rangeProfile_del|fal_tiger_vlan_trans_rangeProfile_get
0x32	0x00230400	2	fal_tiger_vlan_igr_trans_table_add|fal_tiger_vlan_igr_trans_table_get
0x33	0x00230600	3	fal_tiger_vlan_igr_trans_table_add|fal_tiger_vlan_igr_trans_table_del|fal_tiger_vlan_igr_trans_table_get
0x6e	0x00180000	4	fal_tiger_qos_intDP_dscp_map_get|fal_tiger_qos_intDP_dscp_map_set|fal_tiger_qos_intPri_dscp_map_get|fal_tiger_qos_intPri_dscp_map_set
0x6f	0x00180100	8	fal_tiger_qos_intDP_cpri_map_get|fal_tiger_qos_intDP_cpri_map_set|fal_tiger_qos_intDP_spri_map_get|fal_tiger_qos_intDP_spri_map_set|fal_tiger_qos_intPri_cpri_map_get|fal_tiger_qos_intPri_cpri_map_set|fal_tiger_qos_intPri_spri_map_get|fal_tiger_qos_intPri_spri_map_set
0x70	0x00180180	10	fal_tiger_qos_intDP_cpri_map_get|fal_tiger_qos_intDP_cpri_map_set|fal_tiger_qos_intDP_spri_map_get|fal_tiger_qos_intDP_spri_map_set|fal_tiger_qos_intPri_cpri_map_get|fal_tiger_qos_intPri_cpri_map_set|fal_tiger_qos_intPri_portDefPri_get|fal_tiger_qos_intPri_portDefPri_set
0x71	0x00180200	2	fal_tiger_qos_intPri_map_weight_get|fal_tiger_qos_intPri_map_weight_set
0x73	0x00180280	4	fal_tiger_multicast_port_igmp_bypass_ingrfilter_en_get|fal_tiger_multicast_port_igmp_bypass_ingrfilter_en_set|fal_tiger_vlan_port_ingrFilter_enable_get|fal_tiger_vlan_port_ingrFilter_enable_set
0x78	0x00180294	2	fal_tiger_port_isolation_get|fal_tiger_port_isolation_set
0x7a	0x0018038c	2	fal_tiger_stp_state_get|fal_tiger_stp_state_set
0x7c	0x001803d0	7	fal_tiger_l2_port_learn_en_set|fal_tiger_l2_port_learnlimit_cnt_get|fal_tiger_l2_port_learnlimit_cnt_set|fal_tiger_l2_port_learnlimit_en_get|fal_tiger_l2_port_learnlimit_en_set|fal_tiger_l2_port_learnlimit_exceed_drop_get|fal_tiger_l2_port_learnlimit_exceed_drop_set
0x7f	0x00180404	2	fal_tiger_l2_fdb_lag_uc_cnt_get|fal_tiger_l2_fdb_port_uc_cnt_get
